order_id,customer_id,order_date,order_value,category,payment_method,delivery_confirmed,new_device,is_returned,return_date,return_reason,days_to_return,is_chargeback,chargeback_reason
ORD00001,CUST0000,2026-07-02,1795.58,Beauty,NetBanking,1,1,0,,,,0,
ORD00002,CUST0000,2026-06-28,6463.53,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00003,CUST0000,2026-07-01,1568.02,Beauty,Wallet,1,0,0,,,,0,
ORD00004,CUST0000,2026-06-12,2084.13,Home & Kitchen,NetBanking,1,0,0,,,,0,
ORD00005,CUST0000,2026-07-15,2990.57,Beauty,NetBanking,1,0,1,2026-07-22,Not as described,7,0,
ORD00006,CUST0001,2026-06-25,1308.62,Home & Kitchen,Card,1,0,0,,,,0,
ORD00007,CUST0002,2026-08-07,815.05,Grocery,Card,1,0,0,,,,0,
ORD00008,CUST0002,2026-08-30,447.47,Grocery,UPI,0,0,0,,,,1,Duplicate charge
ORD00009,CUST0002,2026-06-14,27110.7,Electronics,Wallet,1,0,0,,,,0,
ORD00010,CUST0002,2026-08-01,37528.86,Electronics,UPI,1,0,0,,,,0,
ORD00011,CUST0002,2026-08-12,1047.37,Home & Kitchen,Wallet,1,0,0,,,,0,
ORD00012,CUST0003,2026-07-19,2743.81,Beauty,Wallet,1,0,0,,,,0,
ORD00013,CUST0003,2026-06-13,3940.33,Fashion,UPI,1,0,0,,,,0,
ORD00014,CUST0003,2026-06-01,1461.41,Beauty,NetBanking,1,1,0,,,,0,
ORD00015,CUST0003,2026-07-29,31870.17,Electronics,Card,1,0,0,,,,0,
ORD00016,CUST0003,2026-07-05,892.75,Fashion,NetBanking,1,0,0,,,,0,
ORD00017,CUST0004,2026-06-16,2128.3,Beauty,NetBanking,1,0,0,,,,0,
ORD00018,CUST0004,2026-06-06,2256.69,Beauty,UPI,1,1,0,,,,0,
ORD00019,CUST0004,2026-08-13,2384.35,Grocery,NetBanking,1,0,0,,,,0,
ORD00020,CUST0004,2026-08-06,2765.0,Beauty,Wallet,1,0,0,,,,0,
ORD00021,CUST0005,2026-07-23,2840.04,Home & Kitchen,Card,1,0,0,,,,0,
ORD00022,CUST0005,2026-07-22,236.24,Grocery,NetBanking,1,0,0,,,,0,
ORD00023,CUST0005,2026-08-05,30621.74,Electronics,Wallet,1,1,0,,,,0,
ORD00024,CUST0006,2026-08-20,2327.97,Beauty,Card,1,0,0,,,,0,
